863	247	4	80	116	726	860	528	849	317	201	530
234	399	82	120	940	401	230	344	523	573	793	481
118	17	109	290	779	333	447	903	553	111	477	894
733	458	547	63	675	21	323	481	507	634	878	548
84	557	357	663	994	15	346	261	997	971	201	540
867	29	691	668	209	288	125	929	220	379	631	143
496	808	478	45	27	576	778	256	555	939	174	604
842	561	574	831	190	231	227	499	330	798	105	792
419	372	721	192	501	522	293	932	572	598	721	243
702	15	291	231	787	570	755	706	680	381	555	167
928	14	259	819	567	833	365	399	183	89	76	877
218	596	760	107	579	2	546	209	526	478	669	390
647	862	768	342	824	325	234	788	419	30	299	619
558	477	690	730	897	396	282	368	469	156	545	452
315	488	441	117	657	379	567	65	935	780	561	839
321	961	163	879	828	689	669	999	25	177	266	257
244	291	550	523	127	106	112	386	784	335	478	84
445	535	254	767	428	898	933	581	283	114	297	943
701	743	639	617	582	142	248	763	347	205	915	951
189	337	30	534	778	301	342	124	385	343	492	991
459	489	575	884	238	615	160	119	341	149	351	123
727	540	809	963	908	717	682	40	30	571	762	340
792	366	944	471	370	698	242	183	28	393	828	300
334	578	944	69	42	466	472	61	551	816	14	866
966	173	917	92	823	480	532	951	403	907	66	309
301	882	56	38	501	671	728	240	810	337	497	844
694	850	712	889	490	47	284	959	57	335	28	275
23	780	260	61	475	223	558	102	102	308	553	191
14	133	523	711	75	83	127	872	166	102	694	630
131	39	576	775	1	493	914	600	168	468	653	724
688	653	728	637	303	621	451	37	526	181	998	662
103	307	471	480	346	419	838	63	98	998	803	662
48	607	249	881	619	576	488	881	917	319	601	462
845	939	702	290	805	848	149	601	77	341	779	381
620	708	180	360	312	497	887	970	696	63	957	243
331	753	328	361	287	928	617	225	532	867	777	65
847	676	903	797	277	217	192	544	426	921	339	772
955	863	475	920	443	952	845	613	729	311	258	210
310	503	5	376	280	68	967	66	951	933	699	596
235	273	657	458	456	319	508	733	293	505	542	856
215	558	2	394	686	150	464	797	547	389	915	832
157	446	651	875	64	790	149	473	197	392	346	321
504	44	307	891	161	349	533	945	366	604	427	326
460	728	373	956	367	993	295	794	822	469	101	567
918	363	878	584	874	948	827	611	96	630	276	890
512	37	865	861	715	905	995	27	21	811	884	525
448	818	936	396	101	641	396	581	839	446	363	605
957	159	298	850	769	729	924	528	804	525	674	662
622	214	618	881	671	232	440	336	61	430	458	259
257	590	650	772	528	580	888	48	990	560	650	232
13	858	942	43	204	14	89	465	952	231	439	355
469	81	685	921	561	612	450	510	935	784	325	461
329	964	702	579	183	174	199	855	592	954	809	299
436	51	165	599	984	751	546	304	376	329	324	344
130	750	272	162	159	689	400	942	879	735	881	989
812	868	72	190	537	382	833	957	308	751	785	261
384	184	740	840	220	474	334	381	424	520	435	476
323	492	178	467	491	364	238	27	115	386	787	286
208	438	310	935	948	824	239	194	231	510	991	810
118	854	169	727	425	478	779	780	661	219	131	595
562	714	293	412	948	855	797	697	429	295	749	820
931	391	600	127	270	723	212	766	552	910	181	729
806	861	747	795	308	77	588	652	321	932	287	427
531	420	890	700	90	182	257	651	925	344	537	635
191	190	883	648	459	443	245	83	611	144	344	164
878	616	589	711	771	41	73	597	353	401	481	599
273	658	993	864	278	377	991	396	308	299	385	784
718	466	640	77	494	956	173	365	268	863	974	683
29	844	867	895	423	245	727	592	316	978	953	467
899	444	226	402	480	889	509	499	566	564	676	768
65	209	548	999	595	102	877	275	866	984	763	435
831	263	142	862	918	569	278	332	397	657	569	89
636	387	291	912	875	52	830	904	700	58	983	408
364	150	243	714	220	930	897	536	85	722	251	364
68	543	775	204	620	360	490	879	157	319	544	376
684	508	304	830	421	275	845	593	827	836	995	968
967	888	293	431	730	478	382	693	805	427	962	35
639	213	430	621	286	33	688	567	178	98	587	215
456	928	290	432	491	29	438	484	220	594	731	289
553	124	965	374	411	177	862	186	164	697	620	723
355	32	443	492	976	737	52	912	908	792	883	188
844	383	515	137	904	628	979	1	804	531	58	41
203	25	799	456	582	402	977	517	379	795	874	785
941	893	906	253	296	447	691	647	35	182	103	1000
135	553	586	109	618	185	766	341	652	970	847	280
530	309	113	31	695	109	92	319	651	116	152	128
282	981	929	32	610	56	934	437	836	934	151	680
