951	645	848	710	831	577	271	551	309	523	855	589
540	180	172	522	568	771	703	305	298	112	625	922
735	145	583	289	211	745	535	795	848	118	863	648
213	615	159	165	430	194	99	378	205	135	521	473
910	667	138	286	483	201	729	76	288	377	819	131
692	880	794	604	26	797	793	43	694	222	575	566
196	854	912	851	608	361	730	206	433	159	372	389
869	828	253	465	139	730	926	325	189	268	409	748
712	186	366	334	498	42	147	515	21	152	76	666
43	98	104	533	991	489	982	807	788	592	90	797
50	248	234	783	349	768	210	490	11	843	785	775
21	267	323	247	517	366	609	135	30	863	941	61
332	247	762	866	717	677	313	3	31	317	585	822
968	71	486	695	480	160	113	902	928	912	824	260
666	727	687	988	260	520	299	801	119	400	286	779
164	180	570	115	60	965	706	495	77	715	331	181
667	545	416	397	597	903	129	578	932	115	947	770
863	250	897	687	902	532	699	631	409	852	989	516
872	703	601	281	630	508	855	496	470	932	359	549
588	761	802	616	296	949	945	350	918	695	514	470
759	968	287	708	909	831	280	155	898	463	766	562
254	204	350	336	631	335	596	92	117	774	889	415
843	50	869	750	696	275	776	555	365	982	804	498
640	24	85	607	154	992	758	2	282	639	43	428
754	227	447	579	885	183	843	533	583	813	530	860
452	309	117	742	601	399	387	477	628	47	910	585
746	583	92	208	471	346	849	758	411	355	276	599
383	407	141	353	374	454	307	104	979	1	699	408
766	630	400	278	505	71	984	178	172	216	24	171
253	280	168	528	51	178	256	336	841	238	418	969
496	407	538	1000 177 134 489 803 166 192 161 288
25	146	64	203	525	105	808	491	214	162	754	431
994	4	775	515	318	833	629	872	384	147	954	18
859	204	117	121	912	352	482	228	594	932	136	293
165	820	979	552	632	380	349	767	571	434	862	379
331	793	149	78	14	295	594	815	61	412	98	894
290	436	54	964	550	460	951	77	505	855	80	860
461	493	609	167	273	80	246	122	276	978	769	553
215	253	343	452	391	32	445	234	328	769	370	89
820	140	765	162	739	680	734	104	576	792	804	652
296	711	700	362	290	232	830	374	411	23	517	802
526	71	966	738	564	293	274	46	563	373	598	679
946	852	800	680	583	552	412	853	772	698	344	356
510	818	989	639	973	287	401	659	92	533	628	437
874	998	821	377	72	661	555	222	444	738	621	30
231	66	399	55	344	415	493	454	457	395	868	381
1000 973 438 827 251 528 366 27	783	293	745	997
426	629	60	214	744	910	459	213	886	863	272	398
762	29	868	354	912	798	453	719	577	419	342	160
50	951	164	699	696	318	259	795	708	978	327	753
782	245	299	246	313	690	394	138	867	4	315	879
267	929	444	821	748	148	913	982	914	545	657	763
388	553	647	220	553	557	173	484	748	77	12	372
905	931	6	595	546	204	577	478	90	719	700	298
31	798	83	843	555	199	174	678	576	589	273	359
885	907	755	977	643	611	885	358	254	84	755	727
627	529	143	79	102	998	699	248	528	51	747	771
934	566	970	172	338	633	841	962	464	581	619	78
561	542	193	825	117	105	502	354	683	854	494	713
112	34	120	373	170	236	453	215	915	767	747	216
346	869	760	693	561	572	110	455	805	66	270	963
280	386	513	473	607	139	919	318	707	701	685	193
137	669	43	925	386	350	796	589	691	980	423	815
808	635	316	591	547	333	192	732	444	676	556	843
242	849	463	594	496	337	463	311	121	380	79	648
460	150	261	268	703	686	112	524	793	456	712	314
181	60	69	476	355	73	421	95	713	802	721	727
327	508	749	303	432	449	120	147	463	354	312	911
493	77	135	754	154	115	556	345	97	382	557	764
389	196	254	344	342	943	973	245	400	740	154	699
713	313	868	777	794	531	227	615	964	354	478	905
277	94	690	674	932	641	309	581	662	886	800	949
984	813	998	706	475	676	148	967	388	530	173	22
595	316	276	838	36	125	415	518	307	630	161	45
457	888	966	279	970	269	499	679	116	729	623	83
594	1000 25	955	414	357	771	224	578	866	59	966
227	496	41	420	912	2	564	761	584	623	964	403
57	368	768	614	607	799	668	155	139	16	993	51
466	419	686	647	685	5	388	1	545	937	251	808
838	324	671	764	57	560	760	842	640	362	24	13
437	49	473	97	741	574	302	905	487	825	716	711
598	764	702	656	131	673	710	872	879	985	945	316
124	7	543	515	621	116	730	318	418	643	451	343
348	708	852	55
